,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,release_action,release_tag_name,release_name,release_body
90,ReleaseEvent,2022-11-01 03:37:44+00:00,75490534,wimglenn/advent-of-code-data,6615374,wimglenn,,,published,v1.1.4,v1.1.4,- `User.get_stats()` has a better error message if the auth token is expired or not functioning
186,ReleaseEvent,2023-01-15 18:04:00+00:00,105440853,Jammy2211/PyAutoLens,23455639,Jammy2211,,,published,2023.1.15.1,Janaury 2023,"This is a major release, which updates many aspects of the API, switches configuration files to YAML, requirements, etc.

**API Changes:**

- All elliptical light profiles and mass profiles no longer prefix with the `Ell` tag, for conciseness / readability. For example, `EllSersic` is now just `Sersic`, and `EllIsothermal` is now `Isothermal`.
- The `Sph` prefix is now a suffix, for example `SphSersic` is now `SersicSph` and `SphIsothermal` is now `Isothermal`.
- The ``elliptical_components` parameter has been shorted to `ell_comps`.
- The `ExternalShear` input has been changed from `elliptical_components` to `gamma_1` and `gamma_2` (the shear is still defined the same, where in the olversion version `elliptical_components[0] = gamma_2` and ` elliptical_components[1] = gamma_1`.
- The `manual_` API for data structures (e.g. `Array2D`, `Grid2D`) has been removed.

**Yaml Configs**

- Configuration files now support `.yaml`, which is provided with the autolens_workspace (https://github.com/Jammy2211/autolens_workspace/tree/release/config).
- The workspace configuration files are now fully documented,.

**Linear Light Profiles / Basis / Multi Gaussian Expansion**

Linear light profiles are now supported, which are identical to ordinary light profiles but the `intensity` parameter is solved for via linear algebra. This means lower dimensionality models can be fitted, making dynesty converge more reliably:

https://github.com/Jammy2211/autolens_workspace/blob/release/scripts/imaging/modeling/light_parametric_linear__mass_total__source_parametric_linear.py

Fits use a `Basis` object composed of many linear light profiles are supports, for example using a Multi Gaussian Expansion of 20+ Gaussians to fit the lens's light:

https://github.com/Jammy2211/autolens_workspace/blob/release/scripts/imaging/modeling/light_parametric_linear__mass_total__source_parametric_linear.py

These features are described fully in the following `HowToLens` tutorial:

https://github.com/Jammy2211/autolens_workspace/blob/release/scripts/howtolens/chapter_2_lens_modeling/tutorial_5_linear_profiles.py

**API Documentation**

API documentation on readthedocs is now being written, which is still a work in progress but more useable than it was previously (https://pyautolens.readthedocs.io/en/latest/api/data.html).

**SLaM V2**

The Source, Light and Mass (SLaM) pipelines have been updated to a version 2, which simplifies the pipelines and makes the API more concise (https://github.com/Jammy2211/autolens_workspace/tree/release/slam).

**Requirements**

The requirements of many projects have been updated to their latest versions, most notably `dynesty v2.0.2`."
207,ReleaseEvent,2022-08-20 14:26:59+00:00,66363927,zhmcclient/python-zhmcclient,8939758,andy-maier,21196715,zhmcclient,published,1.4.0,Release 1.4.0,
813,ReleaseEvent,2021-07-25 03:11:05+00:00,135041960,nickw444/nsw-fuel-api-client,1289759,nickw444,,,published,1.1.1a1,,"

## Changes:

* 2490872e0daa2ba23910ffeb62f732a992e7854c .
* fe1aa62b4b39ab0cf41a3541116ce914d94d13b9 .
* 62490e3991e68a743231dbf254af2195757824ae .
* 3fd213dff1d44173bb78577e67afa0454a3df72c Set up CI with Azure Pipelines
* 03fff8149d90dc696ced92d613e738293bf8964a Bump urllib3 from 1.26.4 to 1.26.5 (#7)

This list of changes was [auto generated](https://nickw444.visualstudio.com/nsw-fuel-api-client/_build/results?buildId=101&view=logs)."
1050,ReleaseEvent,2021-08-16 21:23:22+00:00,120950888,bimmerconnected/bimmer_connected,41898282,github-actions[bot],53658066,bimmerconnected,published,0.7.19,Fix remote services in north_america and rest_of_world,"## What’s Changed

* Fix remote services in `rest_of_world` and `north_america` (#312) @rikroe
  * `trigger_send_message()` has been **deprecated** as it is not supported by the new API endpoints (`trigger_send_poi()` is still working)
  * Add `trigger_remote_air_conditioning_stop()` service
  * Add tests for new service endpoints
  "
1082,ReleaseEvent,2022-09-13 18:02:46+00:00,26784827,dotnet/core,94140381,dcwhittaker,9141961,dotnet,published,v6.0.9,.NET 6.0.9,"- [Release Notes](https://github.com/dotnet/core/blob/main/release-notes/6.0/6.0.9/6.0.9.md)
- [Install Instructions](https://github.com/dotnet/core/blob/main/release-notes/6.0/install.md)

# Repos
 
* [Aspnetcore](https://github.com/dotnet/aspnetcore/releases/tag/v6.0.9)
* [EF Core](https://github.com/dotnet/efcore/releases/tag/v12.0.4)
* [Fsharp](https://github.com/dotnet/fsharp/releases/tag/v6.0.401)
* [Installer](https://github.com/dotnet/installer/releases/tag/v6.0.109)
* [Installer](https://github.com/dotnet/installer/releases/tag/v6.0.304)
* [Installer](https://github.com/dotnet/installer/releases/tag/v6.0.401)
* [Msbuild](https://github.com/dotnet/msbuild/releases/tag/v17.3.1)
* [Runtime](https://github.com/dotnet/runtime/releases/tag/v6.0.9)
* [SDK](https://github.com/dotnet/sdk/releases/tag/v6.0.109)
* [SDK](https://github.com/dotnet/sdk/releases/tag/v6.0.304)
* [SDK](https://github.com/dotnet/sdk/releases/tag/v6.0.401)
* [Source Build](https://github.com/dotnet/source-build/releases/tag/v6.0.0)
* [Templating](https://github.com/dotnet/templating/releases/tag/v6.0.304)
* [Templating](https://github.com/dotnet/templating/releases/tag/v6.0.109)
* [Templating](https://github.com/dotnet/templating/releases/tag/v6.0.401)
* [Windows Desktop](https://github.com/dotnet/windowsdesktop/releases/tag/v6.0.9)
* [Winforms](https://github.com/dotnet/winforms/releases/tag/v6.0.9)
* [WPF](https://github.com/dotnet/wpf/releases/tag/v6.0.9)"
1382,ReleaseEvent,2021-08-11 03:28:33+00:00,63773246,ricequant/rqalpha,26325127,mar-heaven,13045878,ricequant,published,release/4.5.1,release 4.5.1,
1877,ReleaseEvent,2021-07-26 06:41:02+00:00,144431146,EmbroidePy/pyembroidery,3302478,tatarize,42307938,EmbroidePy,published,1.4.31,Zhs Embroidery Format Reader,* Includes Zhs Embroidery Format reader.
2154,ReleaseEvent,2022-02-23 02:09:29+00:00,45163055,lavavu/LavaVu,6336397,OKaluza,53275600,lavavu,published,1.8.29,v1.8.29,Release LavaVu v1.8.29
2546,ReleaseEvent,2023-03-15 08:15:01+00:00,70124554,lablup/backend.ai,41898282,github-actions[bot],11258248,lablup,published,23.03.0a3,23.03.0a3,"No significant changes.

### Full Changelog

Check out [the full changelog](https://github.com/lablup/backend.ai/blob/23.03.0a3/CHANGELOG.md) until this release (23.03.0a3).


### Full Commit Logs

Check out [the full commit logs](https://github.com/lablup/backend.ai/compare/23.03.0a2...23.03.0a3) between release (23.03.0a2) and (23.03.0a3).
"
